b bgt,box_x,box_y,box_z,f_sweep_start,f_sweep_stop,detuning_hz_sim_result,Q_sim_result,use_PLL,PLL_filter_BW_cycles,f_sweep_rate,orientation,periodic_bc,particle_dia,force_amp,grav_y,num_damping,damp_gravity,num_damp_fix,time_step,ball_gen_method,settled_packing,seed,packing_factor_bg8,verlet_dist,q_Factor,beam_length,beam_height,pocket_height,pocket_len,pocketLoc1,pocketLoc2,pocketLoc2_Y,mode_num,modal_method,beam_kappa,beam_young,solution_method,q_guess,force_method,base_excitation,distribution,restitution_coeff,cn,beta_n,wall_frict_angle,sphere_frict_angle,include_vel_scale,young_mod,poisson,normalCohesion,n_windows_per_pocket,sidewall_frict,Mindlin_Type,eta_roll,roll_frict,timestep_val,StokesDrag,BottomWallKFactor,DMT_gamma,DMT_cutoff,comment,,,,,,,,,,,,,,,,,,
15,0.001,0.0013,0.001,0,0,0,0,0,10,0,0,0,0.0001,0.00001,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
16,0.001,0.0013,0.001,0,0,0,0,0,10,0,0,0,0.0001,0.00002,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
17,0.001,0.0013,0.001,0,0,0,0,0,10,0,0,0,0.0001,0.00005,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
18,0.001,0.0013,0.001,0,0,0,0,0,10,0,0,0,0.0001,0.0001,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
19,0.001,0.0013,0.001,0,0,0,0,0,10,0,0,0,0.0001,0.0002,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
20,0.001,0.0013,0.001,0,0,0,0,0,10,0,0,0,0.0001,0.0005,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
21,0.001,0.0013,0.001,0,0,0,0,0,10,0,0,0,0.0001,0.001,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
22,0.001,0.0013,0.001,0,0,0,0,0,10,0,0,0,0.0001,0.002,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
23,0.001,0.0013,0.001,1000,1001,0,0,0,10,1,0,0,0.0001,10000,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
24,0.001,0.0013,0.001,1000,1001,0,0,0,10,1,0,0,0.0001,500,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
25,0.0009,0.0013,0.0009,0,0,0,0,0,10,0,0,0,0.00009,0.0018,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
26,0.001,0.0013,0.001,1000,1001,0,0,0,10,1,0,0,0.0001,10,-9.81,0,1,0,-1,3,,1,nan,-0.1,200,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
27,0.0005,0.0013,0.0005,2800,2801.55,0,0,0,10,1,0,0,0.000025,1000,-9.81,0,1,0,-1,3,,1,nan,-0.1,200,0.178,0.00635,0.0013,0.0178,0.078,0,0,3,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
28,0.001,0.0013,0.001,1000,1001,0,0,0,10,1,0,0,0.0001,10,-9.81,0,1,0,-1,3,,1,nan,-0.1,200,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,1,60,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
29,0.001,0.0013,0.001,1000,1001,0,0,0,10,1,0,0,0.0001,10,-9.81,0,1,0,-1,3,,1,nan,-0.1,200,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,1,40,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
30,0.0005,0.0013,0.0005,2800,2801.55,0,0,0,10,0.5,0,0,0.000025,1000,-9.81,0,1,0,-1,3,,1,nan,-0.1,1046,0.178,0.00635,0.0013,0.0178,0.078,0,0,3,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
31,0.001,0.0013,0.001,0,0,0,0,0,10,0,0,0,0.0001,0.000005,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
32,0.001,0.0013,0.001,0,0,0,0,0,10,0,0,0,0.0001,0.000002,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
33,0.001,0.0013,0.001,0,0,0,0,0,10,0,0,0,0.0001,0.000001,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
34,0.001,0.0013,0.001,0,0,0,0,0,10,0,0,0,0.0001,0.0000005,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
35,0.001,0.0013,0.001,1000,1001,0,0,0,10,1,0,0,0.0001,500,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,1,0,2,402430.3527,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
36,0.001,0.0013,0.001,0,0,0,0,0,10,0,0,0,0.0001,0.0000002,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
37,0.001,0.0013,0.001,0,0,0,0,0,10,0,0,0,0.0001,0.0000001,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
38,0.001,0.0013,0.001,0,0,0,0,0,10,0,0,0,0.0001,0.00000005,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
39,0.001,0.0013,0.001,0,0,0,0,0,10,0,0,0,0.0001,0.00000002,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
40,0.001,0.0013,0.001,0,0,0,0,0,10,0,0,0,0.0001,0.00000001,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
41,0.001,0.0013,0.001,1000,1001,0,0,0,10,1,0,0,0.0001,0.0215,-9.81,0,1,0,-1,3,,1,nan,-0.1,1000,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,1,40,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
42,0.001,0.0013,0.001,0,0,0,0,0,10,0,0,0,0.0001,0.00000051,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
43,0.001,0.0013,0.001,0,0,0,0,0,10,0,0,0,0.0001,0.00000049,-9.81,0,1,0,-1,3,,1,nan,-0.1,20,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
44,0.00025,0.0013,0.00025,999.68,1000.68,0,0,0,10,0.5,0,0,0.000025,0.27,-9.81,0,1,0,-1,3,,1,nan,-0.1,1383,0.178,0.00635,0.0013,0.0178,0.0265,0,0,2,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,"presented May 20th, when I ran these output was normalized to pocket location",,,,,,,,,,,,,,,,,,
45,0.00025,0.0013,0.00025,999.68,1000.68,0,0,0,10,0.5,0,0,0.000025,0.122,-9.81,0,1,0,-1,3,,1,nan,-0.1,1383,0.178,0.00635,0.0013,0.0178,0.0442,0,0,2,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,"presented May 20th, when I ran these output was normalized to pocket location",,,,,,,,,,,,,,,,,,
46,0.00025,0.0013,0.00025,999.68,1000.68,0,0,0,10,0.5,0,0,0.000025,0.173,-9.81,0,1,0,-1,3,,1,nan,-0.1,1383,0.178,0.00635,0.0013,0.0178,0.126,0,0,2,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,"presented May 20th, when I ran these output was normalized to pocket location",,,,,,,,,,,,,,,,,,
47,0.00025,0.0013,0.00025,999.68,1000.68,0,0,0,10,0.5,0,0,0.000025,0.0724,-9.81,0,1,0,-1,3,,1,nan,-0.1,1383,0.178,0.00635,0.0013,0.0178,0.094,0,0,2,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,"presented May 20th, when I ran these output was normalized to pocket location",,,,,,,,,,,,,,,,,,
48,0.00025,0.0013,0.00025,2800,2801,0,0,0,10,0.5,0,0,0.000025,0.0701,-9.81,0,1,0,-1,3,,1,nan,-0.1,1046,0.178,0.00635,0.0013,0.0178,0.0265,0,0,3,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,"presented May 20th, when I ran these output was normalized to pocket location",,,,,,,,,,,,,,,,,,
49,0.00025,0.0013,0.00025,2800,2801,0,0,0,10,0.5,0,0,0.000025,0.0409,-9.81,0,1,0,-1,3,,1,nan,-0.1,1046,0.178,0.00635,0.0013,0.0178,0.0442,0,0,3,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,"presented May 20th, when I ran these output was normalized to pocket location",,,,,,,,,,,,,,,,,,
50,0.00025,0.0013,0.00025,2800,2801,0,0,0,10,0.5,0,0,0.000025,0.0451,-9.81,0,1,0,-1,3,,1,nan,-0.1,1046,0.178,0.00635,0.0013,0.0178,0.126,0,0,3,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,"presented May 20th, when I ran these output was normalized to pocket location",,,,,,,,,,,,,,,,,,
51,0.00025,0.0013,0.00025,2800,2801,0,0,0,10,0.5,0,0,0.000025,0.219,-9.81,0,1,0,-1,3,,1,nan,-0.1,1046,0.178,0.00635,0.0013,0.0178,0.094,0,0,3,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,"presented May 20th, when I ran these output was normalized to pocket location",,,,,,,,,,,,,,,,,,
52,0.00025,0.0013,0.00025,999.68,1000.68,0,0,0,10,0.5,0,0,0.000025,0.27,-9.81,0,1,0,-1,0,,1,nan,-0.1,1383,0.178,0.00635,0.0013,0.0178,0.0265,0,0,2,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,fully,fused,Q,for,44-54,,,,,,,,,,,,,,
53,0.00025,0.0013,0.00025,999.68,1000.68,0,0,0,10,0.5,0,0,0.000025,0.122,-9.81,0,1,0,-1,0,,1,nan,-0.1,1383,0.178,0.00635,0.0013,0.0178,0.0442,0,0,2,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,fully,fused,Q,for,44-54,,,,,,,,,,,,,,
54,0.00025,0.0013,0.00025,999.68,1000.68,0,0,0,10,0.5,0,0,0.000025,0.173,-9.81,0,1,0,-1,0,,1,nan,-0.1,1383,0.178,0.00635,0.0013,0.0178,0.126,0,0,2,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,fully,fused,Q,for,44-54,,,,,,,,,,,,,,
55,0.00025,0.0013,0.00025,999.68,1000.68,0,0,0,10,0.5,0,0,0.000025,0.0724,-9.81,0,1,0,-1,0,,1,nan,-0.1,1383,0.178,0.00635,0.0013,0.0178,0.094,0,0,2,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,fully,fused,Q,for,44-54,,,,,,,,,,,,,,
56,0.00025,0.0013,0.00025,2800,2801,0,0,0,10,0.5,0,0,0.000025,0.0701,-9.81,0,1,0,-1,0,,1,nan,-0.1,1046,0.178,0.00635,0.0013,0.0178,0.0265,0,0,3,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,fully,fused,Q,for,44-54,,,,,,,,,,,,,,
57,0.00025,0.0013,0.00025,2800,2801,0,0,0,10,0.5,0,0,0.000025,0.0409,-9.81,0,1,0,-1,0,,1,nan,-0.1,1046,0.178,0.00635,0.0013,0.0178,0.0442,0,0,3,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,fully,fused,Q,for,44-54,,,,,,,,,,,,,,
58,0.00025,0.0013,0.00025,2800,2801,0,0,0,10,0.5,0,0,0.000025,0.0451,-9.81,0,1,0,-1,0,,1,nan,-0.1,1046,0.178,0.00635,0.0013,0.0178,0.126,0,0,3,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,fully,fused,Q,for,44-54,,,,,,,,,,,,,,
59,0.00025,0.0013,0.00025,2800,2801,0,0,0,10,0.5,0,0,0.000025,0.219,-9.81,0,1,0,-1,0,,1,nan,-0.1,1046,0.178,0.00635,0.0013,0.0178,0.094,0,0,3,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,fully,fused,Q,for,44-54,,,,,,,,,,,,,,
60,0.00025,0.0013,0.00025,999.68,1000.68,0,0,0,10,0.5,0,0,0.000025,0.27,-9.81,0,1,0,-1,0,,1,nan,-0.1,105,0.178,0.00635,0.0013,0.0178,0.0265,0,0,2,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,Dont,use.,Wrong.,Experimental,Q,for,44-54,,,,,,,,,,,,
61,0.00025,0.0013,0.00025,999.68,1000.68,0,0,0,10,0.5,0,0,0.000025,0.122,-9.81,0,1,0,-1,0,,1,nan,-0.1,211,0.178,0.00635,0.0013,0.0178,0.0442,0,0,2,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,Experimental,Q,for,44-54,,,,,,,,,,,,,,,
62,0.00025,0.0013,0.00025,999.68,1000.68,0,0,0,10,0.5,0,0,0.000025,0.173,-9.81,0,1,0,-1,0,,1,nan,-0.1,485,0.178,0.00635,0.0013,0.0178,0.126,0,0,2,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,Experimental,Q,for,44-54,,,,,,,,,,,,,,,
63,0.00025,0.0013,0.00025,999.68,1000.68,0,0,0,10,0.5,0,0,0.000025,0.0724,-9.81,0,1,0,-1,0,,1,nan,-0.1,429,0.178,0.00635,0.0013,0.0178,0.094,0,0,2,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,Dont,use.,Wrong.,Experimental,Q,for,44-54,,,,,,,,,,,,
64,0.00025,0.0013,0.00025,2800,2801,0,0,0,10,0.5,0,0,0.000025,0.0701,-9.81,0,1,0,-1,0,,1,nan,-0.1,585,0.178,0.00635,0.0013,0.0178,0.0265,0,0,3,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,Dont,use.,Wrong.,Experimental,Q,for,44-54,,,,,,,,,,,,
65,0.00025,0.0013,0.00025,2800,2801,0,0,0,10,0.5,0,0,0.000025,0.0409,-9.81,0,1,0,-1,0,,1,nan,-0.1,70,0.178,0.00635,0.0013,0.0178,0.0442,0,0,3,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,Experimental,Q,for,44-54,,,,,,,,,,,,,,,
66,0.00025,0.0013,0.00025,2800,2801,0,0,0,10,0.5,0,0,0.000025,0.0451,-9.81,0,1,0,-1,0,,1,nan,-0.1,77,0.178,0.00635,0.0013,0.0178,0.126,0,0,3,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,Experimental,Q,for,44-54,,,,,,,,,,,,,,,
